Nombre,Latitud,Longitud
Servientrega CC Ronda Del Rio,"4.731.373.166.933.180,00",-7.413.328.411.357.740
Servientrega Suba Rincón Cra. 91,4.719.032.699.565.640,-7.409.181.528.694.570
Servientrega Suba San Jorge Cll 127,4.719.291.787.119.830,-7.408.969.554.091.740
SERVIENTREGA,4.705.439.705.532.590,-7.410.034.917.607.070
Servientrega Centro Comercial Punto 72,4.704.264.922.428.080,-7.410.707.868.954.010
Servientrega,46.869.478.479.356.500,-74.080.168.464.521
Servientrega Home Center Cll 80,4.686.274.775.118.070,-7.407.909.369.425.860
Servientrega C.Cial Iserra 100,4.689.396.732.709.710,-7.406.448.167.727.980
Servientrega Calle 68 San Fernando,46.745.475.389.915.500,-7.408.101.065.546.710
Servientrega Principal Efectivo,4.683.273.319.535.430,-7.404.830.831.741.960
Servientrega Doce De Octubre,4.671.211.182.471.540,-7.407.418.693.873.530
Servientrega Siete De Agosto Cra 30,4.659.662.133.392.000,-7.407.560.318.169.290
Servientrega Calle 68,4.663.511.837.524.190,-7.406.852.196.690.500
Servientrega Mensajería Speedy,4.701.494.451.083.630,-7.405.178.455.013.360
Servientrega Pablo VI,4.651.834.336.403.920,-7.408.719.062.458.540
Servientrega Gran EstacionNUMERO DEL LOCAL,4.649.396.152.427.910,-7.410.173.930.224.050